Heroe’s	497.6	34.9
Srl	544.8	34.9
Via	486.6	51.6
Bazzanese	501.0	51.6
32/7	542.5	51.6
40033	445.1	62.6
Casalecchio	470.5	62.6
di	517.7	62.6
Reno	527.0	62.6
BO	548.3	62.6
E-Mail:	424.9	73.5
info@heroesbranditalia.com	453.7	73.5
PI	422.0	84.5
/	431.3	84.5
CF:	437.0	84.5
02610500395	450.9	84.5
-	503.9	84.5
02610500395	509.1	84.5
Nr	487.2	95.4
REA:	498.1	95.4
BO-553272	517.7	95.4
Banca:	335.0	106.4
INTESA	362.7	106.4
SAN	391.5	106.4
PAOLO	408.8	106.4
IT44Z0306937133100000007249	437.6	106.4
DATI	342.8	125.4
DEL	363.5	125.4
CLIENTE	380.3	125.4
Ragione	201.3	145.6
sociale:	235.3	145.6
EPIC	295.2	145.6
SPORTS	314.2	145.6
LTDA	347.1	145.6
-	369.6	145.6
CNPJ:65.751.802/0001-89	374.8	145.6
FATTURA	91.4	158.1
Indirizzo:	201.3	158.9
Rua	295.2	158.9
do	311.9	158.9
Rocio	323.5	158.9
199	346.5	158.9
-	362.7	158.9
7	367.9	158.9
andar,	374.8	158.9
04552-000	400.7	158.9
Numero:	39.8	174.4
328	103.3	174.4
00000	295.2	172.1
Vila	320.6	172.1
Olímpia	337.3	172.1
-	369.0	172.1
São	374.2	172.1
Paulo	389.8	172.1
-	412.8	172.1
SP	418.0	172.1
Del:	39.8	185.4
18/05/2026	103.3	185.4
Partita	201.3	185.4
Iva:	230.7	185.4
OOy99999999999	295.2	185.4
Telefono:	201.3	198.6
(11)5533-2990	295.2	198.6
Codice	56.9	227.3
Articolo	190.9	227.3
UM	316.3	227.3
Qta.	347.7	227.3
Prezzo	387.7	227.3
%	438.8	227.3
Sc	448.0	227.3
Imponibile	476.8	227.3
Iva	539.4	227.3
DDT	108.4	240.6
594	126.9	240.6
-	143.0	240.6
18/05/2026	148.2	240.6
8057628953593	39.8	255.0
RACCHETTA	108.4	255.0
BT	156.3	255.0
2026	168.4	255.0
STARLIGHT	189.2	255.0
(	233.0	255.0
with	238.2	255.0
box	256.6	255.0
)	272.2	255.0
PZ	318.3	255.0
50	351.1	255.0
€	393.8	255.0
106,66	400.7	255.0
€	487.2	255.0
5.333,00	494.1	255.0
N3.1	536.2	255.0
Totale	117.1	612.4
imponibile:	144.2	612.4
€	190.9	612.4
0,00	197.8	612.4
Totale	375.1	612.4
esenti	402.2	612.4
iva:	428.1	612.4
€	444.2	612.4
5.333,00	451.2	612.4
Pagamento:Bonifico	34.7	626.8
anticipato	117.1	626.8
50%,	156.9	626.8
SALDO	177.0	626.8
60	204.7	626.8
GG	216.2	626.8
DFFM	230.1	626.8
Scadenze:	34.7	640.1
18/05/2026	84.2	640.1
1.250,00	130.4	640.1
€	164.9	640.1
Scadenze:	34.7	653.3
31/07/2026	84.2	653.3
4.083,00	130.4	653.3
€	164.9	653.3
Descrizione	32.9	674.6
Cod.	79.6	674.6
IVA	99.2	674.6
Imponibile	479.7	674.6
IVA	548.3	674.6
N3.1	32.9	686.2
-	52.5	686.2
ART	57.7	686.2
8	75.0	686.2
DPR	81.9	686.2
633/72	99.8	686.2
-ESPORTAZIONE-	128.6	686.2
5.333,00	489.5	686.2
0,00	545.4	686.2
IMPOSTE:	438.8	706.9
€	535.0	706.9
0,00	541.9	706.9
Firma	36.4	722.5
Emittente	56.0	722.5
SCONTI:	444.5	720.2
€	535.0	720.2
0,00	541.9	720.2
TOTALE	389.2	733.4
DOCUMENTO:	420.9	733.4
€	518.9	733.4
5.333,00	525.8	733.4
Firma	36.4	749.6
per	56.0	749.6
accettazione	68.1	749.6
TOTALE	397.3	746.7
DA	429.0	746.7
PAGARE:	442.2	746.7
€	518.9	746.7
5.333,00	525.8	746.7
I	132.1	767.4
suoi	135.5	767.4
dati	148.8	767.4
sono	161.5	767.4
conservati	176.5	767.4
in	207.0	767.4
archivi	213.9	767.4
elettronici	234.1	767.4
protetti	264.7	767.4
secondo	287.7	767.4
d.lgs.	312.5	767.4
196/2003	329.2	767.4
e	358.1	767.4
Regolamento	363.2	767.4
(UE)	403.0	767.4
2016/679	417.4	767.4
GDPR	446.3	767.4
Pag.	525.8	822.1
1	544.3	822.1
/	551.2	822.1
1	556.9	822.1
