Heroe’s	497.6	34.9
Srl	544.8	34.9
Via	486.6	51.6
Bazzanese	501.0	51.6
32/7	542.5	51.6
40033	445.1	62.6
Casalecchio	470.5	62.6
di	517.7	62.6
Reno	527.0	62.6
BO	548.3	62.6
E-Mail:	424.9	73.5
info@heroesbranditalia.com	453.7	73.5
PI	422.0	84.5
/	431.3	84.5
CF:	437.0	84.5
02610500395	450.9	84.5
-	503.9	84.5
02610500395	509.1	84.5
Nr	487.2	95.4
REA:	498.1	95.4
BO-553272	517.7	95.4
Banca:	335.0	106.4
INTESA	362.7	106.4
SAN	391.5	106.4
PAOLO	408.8	106.4
IT44Z0306937133100000007249	437.6	106.4
DATI	342.8	125.4
DEL	363.5	125.4
CLIENTE	380.3	125.4
Ragione	201.3	145.6
sociale:	235.3	145.6
EPIC	295.2	145.6
SPORTS	314.2	145.6
LTDA	347.1	145.6
-	369.6	145.6
CNPJ:65.751.802/0001-89	374.8	145.6
ORDINE	94.9	158.1
Indirizzo:	201.3	158.9
Rua	295.2	158.9
do	311.9	158.9
Rocio	323.5	158.9
199	346.5	158.9
-	362.7	158.9
7	367.9	158.9
andar,	374.8	158.9
04552-000	400.7	158.9
Numero:	39.8	174.4
589	103.3	174.4
00000	295.2	172.1
Vila	320.6	172.1
Olímpia	337.3	172.1
-	369.0	172.1
São	374.2	172.1
Paulo	389.8	172.1
-	412.8	172.1
SP	418.0	172.1
Del:	39.8	185.4
04/06/2026	103.3	185.4
Partita	201.3	185.4
Iva:	230.7	185.4
OOy99999999999	295.2	185.4
Telefono:	201.3	198.6
(11)5533-2990	295.2	198.6
Codice	56.9	227.3
Articolo	190.9	227.3
UM	316.3	227.3
Qta.	347.7	227.3
Prezzo	387.7	227.3
%	438.8	227.3
Sc	448.0	227.3
Imponibile	476.8	227.3
Iva	539.4	227.3
I.V.	60.3	240.6
2	74.7	240.6
racchette	108.4	240.6
2027	145.9	240.6
GRAFICATE	166.7	240.6
PZ	318.3	240.6
14600	344.2	240.6
€	398.4	240.6
50,00	405.3	240.6
€	478.0	240.6
730.000,00	484.9	240.6
N3.1	536.2	240.6
I.V.	60.3	255.0
1	74.7	255.0
racchette	108.4	255.0
2027	145.9	255.0
NON	166.7	255.0
GRAFICATE	186.8	255.0
PZ	318.3	255.0
2000	346.5	255.0
€	398.4	255.0
50,00	405.3	255.0
€	478.0	255.0
100.000,00	484.9	255.0
N3.1	536.2	255.0
Totale	73.0	598.0
imponibile:	100.1	598.0
€	146.8	598.0
0,00	153.7	598.0
Totale	238.4	598.0
esenti	265.5	598.0
iva:	291.5	598.0
€	307.6	598.0
830.000,00	314.5	598.0
Spese	421.2	598.0
di	446.0	598.0
spedizione:	455.8	598.0
€	501.9	598.0
0,00	508.8	598.0
Note:	34.7	611.2
Descrizione	32.9	632.6
Cod.	79.6	632.6
IVA	99.2	632.6
Imponibile	457.2	632.6
IVA	548.3	632.6
N3.1	32.9	644.1
_	52.5	644.1
IVA	59.4	644.1
0%	74.4	644.1
830.000,00	457.8	644.1
0,00	545.4	644.1
IMPOSTE:	426.7	664.8
€	535.0	664.8
0,00	541.9	664.8
Firma	36.4	680.4
Emittente	56.0	680.4
SCONTI:	432.4	678.1
€	535.0	678.1
0,00	541.9	678.1
TOTALE	377.1	691.4
DOCUMENTO:	408.8	691.4
€	509.7	691.4
830.000,00	516.6	691.4
Firma	36.4	707.5
per	56.0	707.5
accettazione	68.1	707.5
TOTALE	385.2	704.6
DA	416.9	704.6
PAGARE:	430.1	704.6
€	509.7	704.6
830.000,00	516.6	704.6
I	132.1	725.4
suoi	135.5	725.4
dati	148.8	725.4
sono	161.5	725.4
conservati	176.5	725.4
in	207.0	725.4
archivi	213.9	725.4
elettronici	234.1	725.4
protetti	264.7	725.4
secondo	287.7	725.4
d.lgs.	312.5	725.4
196/2003	329.2	725.4
e	358.1	725.4
Regolamento	363.2	725.4
(UE)	403.0	725.4
2016/679	417.4	725.4
GDPR	446.3	725.4
Pag.	525.8	822.1
1	544.3	822.1
/	551.2	822.1
1	556.9	822.1
